show_id,category,title,director,country,release_date,rating,duration,type,description,date
s1,TV Show,3%,,Brazil,14/8/2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",14/8/2020
s2,Movie,7:19,Jorge Michel Grau,Mexico,23/12/2016,TV-MA,93 min,"Dramas, International Movies","After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.",23/12/2016
s3,Movie,23:59,Gilbert Chan,Singapore,20/12/2018,R,78 min,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.",20/12/2018
s4,Movie,9,Shane Acker,United States,16/11/2017,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",16/11/2017
s5,Movie,21,Robert Luketic,United States,1/1/2020,PG-13,123 min,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,1/1/2020
s6,TV Show,46,Serdar Akar,Turkey,1/7/2017,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",7/1/2017
s7,Movie,122,Yasir Al Yasiri,Egypt,1/6/2020,TV-MA,95 min,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",6/1/2020
s8,Movie,187,Kevin Reynolds,United States,1/11/2019,R,119 min,Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",11/1/2019
s9,Movie,706,Shravan Kumar,India,1/4/2019,TV-14,118 min,"Horror Movies, International Movies","When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on.",4/1/2019
s10,Movie,1920,Vikram Bhatt,India,15/12/2017,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.,15/12/2017
